[Fri Mar 06 12:21:02.035396 2015] [:error] [pid 8252] [client 127.0.0.1:35513] PHP Fatal error:  Call to undefined function validation_errors() in /home/ikram/Fika/application/views/myform.php on line 7
[Fri Mar 06 12:21:14.219081 2015] [:error] [pid 5569] [client 127.0.0.1:35515] PHP Fatal error:  Call to undefined function validation_errors() in /home/ikram/Fika/application/views/myform.php on line 7
[Fri Mar 06 12:24:28.162061 2015] [:error] [pid 5704] [client 127.0.0.1:35517] PHP Fatal error:  Call to undefined function validation_errors() in /home/ikram/Fika/application/views/myform.php on line 7
[Fri Mar 06 12:35:04.406445 2015] [:error] [pid 14666] [client 127.0.0.1:35647] PHP Fatal error:  Call to undefined function validation_errors() in /home/ikram/Fika/application/views/myform.php on line 7
[Fri Mar 06 12:35:50.227353 2015] [:error] [pid 5571] [client 127.0.0.1:35650] PHP Fatal error:  Call to undefined function validation_errors() in /home/ikram/Fika/application/views/myform.php on line 7
[Fri Mar 06 12:35:53.611247 2015] [:error] [pid 5571] [client 127.0.0.1:35650] PHP Fatal error:  Call to undefined function validation_errors() in /home/ikram/Fika/application/views/myform.php on line 7
[Fri Mar 06 12:36:16.411365 2015] [:error] [pid 8252] [client 127.0.0.1:35652] PHP Fatal error:  Call to undefined function validation_errors() in /home/ikram/Fika/application/views/myform.php on line 7
[Fri Mar 06 12:36:18.378237 2015] [:error] [pid 8252] [client 127.0.0.1:35652] PHP Fatal error:  Call to undefined function validation_errors() in /home/ikram/Fika/application/views/myform.php on line 7
[Fri Mar 06 12:37:14.108308 2015] [:error] [pid 5569] [client 127.0.0.1:35655] PHP Fatal error:  Call to undefined function validation_errors() in /home/ikram/Fika/application/views/myform.php on line 7
[Fri Mar 06 12:37:53.269372 2015] [:error] [pid 5704] [client 127.0.0.1:35657] PHP Fatal error:  Cannot redeclare logged_in() (previously declared in /home/ikram/Fika/application/helpers/form_helper.php:5) in /home/ikram/Fika/application/helpers/authme_helper.php on line 14
